class,itstate,state,frequency,frequency_bin,real_center,imag_center,gamma_magnitude,sample_count
0,0,closed,843.0,843.0,0.52325439453125,0.4937744140625,0.7194500214601639,21
0,0,closed,844.0,844.0,0.5274505615234375,0.5160369873046875,0.7379012583793904,18
0,0,closed,845.0,845.0,0.53253173828125,0.524566650390625,0.7475026575062392,19
0,0,closed,846.0,846.0,0.528076171875,0.5028839111328125,0.7292164777200176,18
0,0,closed,847.0,847.0,0.535614013671875,0.53717041015625,0.7585739391708163,20
0,0,closed,848.0,848.0,0.5299530029296875,0.504241943359375,0.7315122164099739,18
0,0,closed,849.0,849.0,0.56378173828125,0.55474853515625,0.7909461332337576,18
0,1,closed,703.0,703.0,0.3133544921875,0.515838623046875,0.6035565613933643,1
0,1,closed,704.0,704.0,0.316162109375,0.51934814453125,0.6080139592414813,1
0,1,closed,705.0,705.0,0.3079986572265625,0.4999237060546875,0.5871855624322001,2
0,1,closed,706.0,706.0,0.30523681640625,0.4813232421875,0.5699487499413518,3
0,1,closed,707.0,707.0,0.307342529296875,0.486236572265625,0.5752264202235715,3
0,1,closed,708.0,708.0,0.3063507080078125,0.4897918701171875,0.5777082588381266,4
0,1,closed,709.0,709.0,0.299407958984375,0.4878387451171875,0.5723912710207079,2
0,1,closed,710.0,710.0,0.3200836181640625,0.520050048828125,0.6106599511210249,2
0,1,closed,711.0,711.0,0.33502197265625,0.54449462890625,0.6393075340321276,1
0,1,closed,712.0,712.0,0.318267822265625,0.50732421875,0.5988925359528212,3
0,1,closed,713.0,713.0,0.317962646484375,0.511016845703125,0.6018624935578882,4
0,1,closed,714.0,714.0,0.32037353515625,0.5148468017578125,0.6063880204198968,4
0,1,closed,715.0,715.0,0.319915771484375,0.5194091796875,0.6100262263116927,3
0,1,closed,716.0,716.0,0.339080810546875,0.5410308837890625,0.6385062359090158,2
0,1,closed,717.0,717.0,0.3251953125,0.527313232421875,0.6195250086632331,3
0,1,closed,718.0,718.0,0.333648681640625,0.52935791015625,0.625732562526132,3
0,1,closed,719.0,719.0,0.33599853515625,0.53265380859375,0.6297738446748745,3
0,1,closed,720.0,720.0,0.3362274169921875,0.5374298095703125,0.6339398048332513,2
0,1,closed,721.0,721.0,0.3393707275390625,0.5410003662109375,0.6386343922392225,4
0,1,closed,722.0,722.0,0.35723876953125,0.5603790283203125,0.6645631601566695,2
0,1,closed,723.0,723.0,0.3449554443359375,0.5478973388671875,0.6474455594988275,4
0,1,closed,724.0,724.0,0.315948486328125,0.5120391845703125,0.6016706512274501,2
0,1,closed,725.0,725.0,0.34820556640625,0.553924560546875,0.654277873119171,5
0,1,closed,726.0,726.0,0.3442840576171875,0.55499267578125,0.6531067160121588,4
0,1,closed,727.0,727.0,0.35443115234375,0.5594482421875,0.6622716794778425,3
0,1,closed,728.0,728.0,0.3334197998046875,0.5319671630859375,0.6278198989387788,2
0,1,closed,729.0,729.0,0.360382080078125,0.56561279296875,0.6706661428843312,5
0,1,closed,730.0,730.0,0.3596038818359375,0.566009521484375,0.6705831270188999,4
0,1,closed,731.0,731.0,0.35302734375,0.566558837890625,0.6675456705178726,5
0,1,closed,732.0,732.0,0.35638427734375,0.57025146484375,0.6724555645500077,7
0,1,closed,733.0,733.0,0.359375,0.57342529296875,0.6767325596136902,5
0,1,closed,734.0,734.0,0.3480377197265625,0.5500335693359375,0.650897212890712,6
0,1,closed,735.0,735.0,0.35064697265625,0.5411224365234375,0.6447998067168248,6
0,1,closed,736.0,736.0,0.338104248046875,0.531585693359375,0.6299982793085314,7
0,1,closed,737.0,737.0,0.34051513671875,0.5357666015625,0.6348199821086444,7
0,1,closed,738.0,738.0,0.34307861328125,0.53912353515625,0.6390282631076327,7
0,1,closed,739.0,739.0,0.379730224609375,0.5897216796875,0.7014033810692195,5
0,1,closed,740.0,740.0,0.3657989501953125,0.5692291259765625,0.6766318569384935,8
0,1,closed,741.0,741.0,0.3738861083984375,0.5724029541015625,0.6836928871339263,6
0,1,closed,742.0,742.0,0.3536376953125,0.55291748046875,0.6563363160406768,7
0,1,closed,743.0,743.0,0.3752899169921875,0.5771636962890625,0.6884478586719956,8
0,1,closed,744.0,744.0,0.384613037109375,0.5796051025390625,0.6956071184252032,6
0,1,closed,745.0,745.0,0.361053466796875,0.5503997802734375,0.6582549080797578,6
0,1,closed,746.0,746.0,0.363800048828125,0.552703857421875,0.6616887709009172,5
0,1,closed,747.0,747.0,0.387115478515625,0.5870208740234375,0.7031727385540638,8
0,1,closed,748.0,748.0,0.369476318359375,0.56524658203125,0.6752898994701526,8
0,1,closed,824.0,824.0,0.5715789794921875,0.619415283203125,0.8428391441211888,16
0,1,closed,825.0,825.0,0.585968017578125,0.620819091796875,0.8536831158948468,15
0,1,closed,826.0,826.0,0.53271484375,0.61627197265625,0.814601896040767,12
0,1,closed,827.0,827.0,0.5792236328125,0.62060546875,0.8489117531586643,16
0,1,closed,828.0,828.0,0.587432861328125,0.61981201171875,0.8539580179604803,12
0,1,closed,829.0,829.0,0.583892822265625,0.6204071044921875,0.8519599774623787,14
0,1,closed,830.0,830.0,0.586090087890625,0.6189422607421875,0.8524031401023172,12
0,1,closed,831.0,831.0,0.5462646484375,0.6186065673828125,0.8252751973382525,14
0,1,closed,832.0,832.0,0.590484619140625,0.613189697265625,0.8512776810620362,17
0,1,closed,833.0,833.0,0.59686279296875,0.616912841796875,0.8583860716509518,16
0,1,closed,834.0,834.0,0.59674072265625,0.615814208984375,0.8575118833365255,15
0,1,closed,835.0,835.0,0.597503662109375,0.616973876953125,0.8588756551892037,17
0,1,closed,836.0,836.0,0.582305908203125,0.6173248291015625,0.8486283729369055,16
0,1,closed,837.0,837.0,0.6033935546875,0.616973876953125,0.8629835147214499,17
0,1,closed,838.0,838.0,0.57098388671875,0.5907745361328125,0.8216064455902169,16
0,1,closed,839.0,839.0,0.57135009765625,0.615386962890625,0.8397273653916215,19
