class,state,frequency,frequency_bin,real_center,imag_center,gamma_magnitude,sample_count
2,closed,711.0,711.0,0.31610107421875,0.6146240234375,0.6911458451794008,38
2,closed,712.0,712.0,0.31756591796875,0.55633544921875,0.6405913239443407,35
2,closed,713.0,713.0,0.3186492919921875,0.58685302734375,0.667782784286662,46
2,closed,714.0,714.0,0.32275390625,0.564208984375,0.6500014323438855,55
2,closed,715.0,715.0,0.322509765625,0.6181640625,0.6972369447253899,51
2,closed,716.0,716.0,0.338470458984375,0.576751708984375,0.6687337178739312,71
2,closed,717.0,717.0,0.3383331298828125,0.5815582275390625,0.6728144460359603,62
2,closed,718.0,718.0,0.3502655029296875,0.582763671875,0.6799260399483311,62
2,closed,719.0,719.0,0.351654052734375,0.606719970703125,0.7012629290462398,63
2,closed,720.0,720.0,0.3485260009765625,0.5693206787109375,0.6675300806440092,62
2,closed,721.0,721.0,0.353790283203125,0.5897216796875,0.687705768466714,57
2,closed,722.0,722.0,0.3665313720703125,0.5894317626953125,0.6941001725873932,66
2,closed,723.0,723.0,0.366485595703125,0.589080810546875,0.6937779855345928,65
2,closed,724.0,724.0,0.3926849365234375,0.5734405517578125,0.6950075724571068,50
2,closed,725.0,725.0,0.3858795166015625,0.5884857177734375,0.7037175863625788,48
2,closed,726.0,726.0,0.3695526123046875,0.624298095703125,0.7254772536473951,62
2,closed,727.0,727.0,0.3727569580078125,0.58843994140625,0.6965696766192374,60
2,closed,728.0,728.0,0.374114990234375,0.594757080078125,0.7026364708874168,65
2,closed,729.0,729.0,0.380584716796875,0.58612060546875,0.6988433950567263,65
2,closed,730.0,730.0,0.385589599609375,0.593292236328125,0.7075839293074326,53
2,closed,731.0,731.0,0.39178466796875,0.585235595703125,0.7042697839133631,51
2,closed,732.0,732.0,0.384765625,0.593414306640625,0.7072376725736649,41
2,closed,733.0,733.0,0.408721923828125,0.59033203125,0.7180149846190639,42
2,closed,734.0,734.0,0.398101806640625,0.59490966796875,0.7158229959237256,43
2,closed,735.0,735.0,0.401641845703125,0.589691162109375,0.7134786884621839,39
2,closed,736.0,736.0,0.406036376953125,0.6025390625,0.726580251071827,35
2,closed,737.0,737.0,0.417724609375,0.602874755859375,0.7334519892467382,40
2,closed,738.0,738.0,0.41461181640625,0.593170166015625,0.7237083695486007,35
2,closed,739.0,739.0,0.39764404296875,0.59820556640625,0.7183109943387721,40
2,closed,740.0,740.0,0.406585693359375,0.598419189453125,0.7234759514664318,37
2,closed,741.0,741.0,0.42071533203125,0.601409912109375,0.7339586316609207,35
2,closed,742.0,742.0,0.4019012451171875,0.5955047607421875,0.718436170368221,44
2,closed,743.0,743.0,0.421051025390625,0.597686767578125,0.7311042594052399,39
2,closed,744.0,744.0,0.4329376220703125,0.6025390625,0.7419489918062263,42
2,closed,745.0,745.0,0.493408203125,0.5959625244140625,0.7737072995758947,26
2,closed,746.0,746.0,0.424774169921875,0.593597412109375,0.7299253270683003,43
2,closed,747.0,747.0,0.4154205322265625,0.5962982177734375,0.726736391764702,40
2,closed,748.0,748.0,0.419036865234375,0.599945068359375,0.7317964057538046,41
2,closed,824.0,824.0,0.466827392578125,0.6510162353515625,0.8010929741001427,138
2,closed,825.0,825.0,0.459014892578125,0.6512451171875,0.7967527058435812,169
